Variable,FOLLOW
<PROGRAM>,['$']
<CODE>,['end']
<INSTLIST>,['end']
<INSTTAIL>,['end']
<INSTRUCTION>,"['end', 'else', '...']"
<ASSIGN>,"['end', '...', 'else']"
<EXPRARITH>,"['-', '<', '+', 'else', ')', '...', '/', 'end', '*', '=']"
<EXPRARITHPRIME>,"['end', ')', '...', 'else']"
<PROD>,"['-', '+', 'else', ')', '...', 'end']"
<PRODPRIME>,"['-', 'end', '+', 'else', ')', '...']"
<ATOM>,"['-', '+', 'else', ')', '...', '/', 'end', '*']"
<IF>,"['end', '...', 'else']"
<ELSETAIL>,"['end', '...', 'else']"
<COND>,"['}', 'do', 'then']"
<CONDPRIME>,"['}', 'do', 'then']"
<AND>,"['or', 'then', '}', 'do']"
<ANDPRIME>,"['or', 'do', '}', 'then']"
<CONDATOM>,"['and', '}', 'or', 'then', 'do']"
<COMP>,"['-', '(', '[Number]', '[VarName]']"
