Variable,FIRST
<PROGRAM>,['begin']
<CODE>,"['begin', 'while', 'read', 'if', 'print', 'eps', '[VarName]']"
<INSTLIST>,"['begin', 'while', 'read', 'if', 'print', '[VarName]']"
<INSTTAIL>,"['eps', '...']"
<INSTRUCTION>,"['while', 'read', 'print', 'begin', 'if', '[VarName]']"
<ASSIGN>,['[VarName]']
<EXPRARITH>,"['-', '(', '[Number]', '[VarName]']"
<EXPRARITHPRIME>,"['-', 'eps', '+']"
<PROD>,"['-', '(', '[Number]', '[VarName]']"
<PRODPRIME>,"['eps', '*', '/']"
<ATOM>,"['-', '(', '[Number]', '[VarName]']"
<IF>,['if']
<ELSETAIL>,"['begin', 'while', 'read', 'if', 'print', 'eps', '[VarName]']"
<COND>,"['{', '-', '[Number]', '(', '[VarName]']"
<CONDPRIME>,"['or', 'eps']"
<AND>,"['{', '-', '[Number]', '(', '[VarName]']"
<ANDPRIME>,"['eps', 'and']"
<CONDATOM>,"['{', '-', '[Number]', '(', '[VarName]']"
<COMP>,"['=', '<']"
