Variable,FOLLOW
<PROGRAM>,['$']
<CODE>,['end']
<INSTLIST>,['end']
<INSTTAIL>,['end']
<INSTRUCTION>,"['end', 'else', '...']"
<ASSIGN>,"['end', 'else', '...']"
<EXPRARITH>,"['end', 'else', '<', ')', '...', '=']"
<EXPRARITHPRIME>,"['end', 'else', '<', ')', '...', '=']"
<PROD>,"['+', 'end', 'else', '<', ')', '-', '...', '=']"
<PRODPRIME>,"['+', 'end', 'else', '<', ')', '-', '...', '=']"
<ATOM>,"['+', 'end', 'else', '<', ')', '-', '...', '/', '=', '*']"
<IF>,"['end', 'else', '...']"
<ELSETAIL>,"['end', 'else', '...']"
<COND>,"['}', 'do', 'then']"
<CONDPRIME>,"['}', 'do', 'then']"
<AND>,"['}', 'do', 'or', 'then']"
<ANDPRIME>,"['}', 'do', 'or', 'then']"
<CONDATOM>,"['}', 'do', 'or', 'and', 'then']"
<COMP>,"['[VarName]', '(', '[Number]', '-']"
