Variable,FIRST
<PROGRAM>,['begin']
<CODE>,"['[VarName]', 'read', 'while', 'if', 'begin', 'print', 'eps']"
<INSTLIST>,"['[VarName]', 'read', 'while', 'if', 'begin', 'print']"
<INSTTAIL>,"['...', 'eps']"
<INSTRUCTION>,"['[VarName]', 'print', 'while', 'if', 'begin', 'read']"
<ASSIGN>,['[VarName]']
<EXPRARITH>,"['[VarName]', '-', '(', '[Number]']"
<EXPRARITHPRIME>,"['-', 'eps', '+']"
<PROD>,"['[VarName]', '-', '(', '[Number]']"
<PRODPRIME>,"['*', '/', 'eps']"
<ATOM>,"['[VarName]', '-', '(', '[Number]']"
<IF>,['if']
<ELSETAIL>,"['[VarName]', 'read', 'while', 'if', 'begin', 'print', 'eps']"
<COND>,"['[VarName]', '-', '[Number]', '(', '{']"
<CONDPRIME>,"['eps', 'or']"
<AND>,"['[VarName]', '-', '[Number]', '(', '{']"
<ANDPRIME>,"['and', 'eps']"
<CONDATOM>,"['[VarName]', '-', '[Number]', '(', '{']"
<COMP>,"['=', '<']"
